854,519,355,555,395,977,782
546,670,576,862,606,967,265
810,705,536,575,968,305,617
994,732,797,135,188,634,923
937,760,797,903,673,560,976
499,708,138,347,971,653,290
208,339,279,694,988,319,463
548,697,727,580,397,152,683
542,1000,919,824,809,545,707
936,240,221,701,703,617,754
173,462,526,955,748,528,232
423,805,523,596,788,722,551
702,413,652,740,736,694,592
607,635,648,796,101,138,477
502,817,578,697,241,470,594
421,974,315,255,954,548,212
168,800,144,242,374,109,733
739,980,318,421,117,102,899
193,613,243,477,790,872,745
474,481,464,233,258,791,514
353,989,761,372,152,320,445
365,187,324,372,599,169,161
960,148,317,479,170,206,269
100,734,379,297,581,804,780
198,820,576,816,366,354,799
142,283,476,424,102,489,346
269,797,935,601,576,399,176
161,669,379,795,835,962,290
763,193,230,183,307,591,463
220,588,256,655,864,174,217
321,283,623,781,367,859,966
347,380,239,405,393,637,555
916,117,590,775,121,736,254
166,918,184,979,308,886,736
514,571,765,998,330,958,152
379,165,775,297,980,417,228
132,356,586,246,774,491,951
558,332,967,874,100,456,723
909,158,916,747,210,321,584
116,856,753,459,241,931,165
238,384,410,288,988,993,220
685,637,333,219,545,830,825
336,268,103,983,871,781,215
614,667,896,816,109,411,141
970,677,910,489,933,575,343
217,546,198,619,858,852,716
240,518,389,823,720,375,683
644,607,231,996,187,666,954
122,309,422,369,541,122,322
123,812,176,399,953,281,203
963,580,604,837,784,699,684
801,176,907,829,380,948,247
452,859,584,810,800,194,216
725,539,420,842,256,194,914
381,887,457,285,531,755,411
515,996,674,883,227,896,488
543,470,240,995,136,230,592
849,979,776,589,151,320,277
543,437,358,527,178,329,838
856,428,618,137,495,114,177
966,814,650,820,425,941,666
875,175,196,827,695,237,777
651,992,202,266,770,533,682
111,851,205,805,789,785,132
405,924,457,707,624,129,588
995,719,253,682,157,469,433
868,661,461,112,217,644,179
171,315,930,760,976,310,367
592,541,195,488,531,794,424
937,348,911,922,768,274,153
759,269,927,132,269,860,415
719,970,813,279,481,403,446
891,686,692,140,961,736,392
497,384,625,700,416,281,684
529,115,532,319,881,296,727
419,825,945,149,304,850,559
308,110,841,955,263,203,468
284,940,158,127,272,754,464
725,618,465,431,476,346,773
629,840,102,945,168,930,146
455,190,411,950,424,630,383
239,342,881,428,324,824,341
669,523,447,916,254,505,989
753,935,198,458,623,303,179
661,575,463,139,525,540,540
318,239,185,278,511,414,315
174,524,855,656,617,447,191
536,649,861,502,773,489,531
378,464,959,381,303,689,168
654,842,595,129,777,966,474
626,873,692,291,735,829,368
161,236,313,512,561,118,981
762,815,938,823,188,782,294
879,280,293,356,480,908,914
334,196,270,181,667,138,966
997,766,561,568,482,167,155
762,869,972,879,508,565,655
801,433,980,954,707,605,866
422,150,631,687,340,240,931
864,567,151,403,784,771,600
297,294,295,312,782,334,339
255,859,819,296,488,443,463
